event type	date
show_complete	2023-02-07 19:59:19.193042
show_complete	2023-02-07 19:59:32.314730
update	2023-02-07 20:13:54.794317
delete	2023-02-07 20:14:36.128267
add_product	2023-02-08 20:43:27.082900
add_product	2023-02-08 20:47:35.679936
add_product	2023-02-08 20:48:01.281189
add_product	2023-02-08 20:51:27.021037
add_product	2023-02-08 21:03:40.756069
delete	2023-02-08 21:06:10.500687
delete	2023-02-08 21:06:15.805661
update	2023-02-08 21:07:22.343659
update	2023-02-08 21:08:17.061522
search	2023-02-08 21:08:37.123964
search	2023-02-08 21:13:25.243892
search	2023-02-08 21:14:01.047649